#,Date-Time (PDT),Ch:1 - Temperature   (°C)
1,07/16/2023 07:20:00,21.32
2,07/16/2023 07:25:00,20.63
3,07/16/2023 07:30:00,20.20
4,07/16/2023 07:35:00,19.95
5,07/16/2023 07:40:00,19.90
6,07/16/2023 07:45:00,19.82
7,07/16/2023 07:50:00,19.65
8,07/16/2023 07:55:00,19.69
9,07/16/2023 08:00:00,20.07
10,07/16/2023 08:05:00,20.72
11,07/16/2023 08:10:00,21.36
12,07/16/2023 08:15:00,22.05
13,07/16/2023 08:20:00,21.79
14,07/16/2023 08:25:00,20.50
15,07/16/2023 08:30:00,20.37
16,07/16/2023 08:35:00,19.47
17,07/16/2023 08:40:00,19.17
18,07/16/2023 08:45:00,19.09
19,07/16/2023 08:50:00,19.22
20,07/16/2023 08:55:00,18.92
21,07/16/2023 09:00:00,18.92
22,07/16/2023 09:05:00,18.87
23,07/16/2023 09:10:00,18.66
24,07/16/2023 09:15:00,18.62
25,07/16/2023 09:20:00,18.53
26,07/16/2023 09:25:00,18.53
27,07/16/2023 09:30:00,18.53
28,07/16/2023 09:35:00,18.57
29,07/16/2023 09:40:00,18.62
30,07/16/2023 09:45:00,18.66
31,07/16/2023 09:50:00,18.57
32,07/16/2023 09:55:00,18.62
33,07/16/2023 10:00:00,18.57
34,07/16/2023 10:05:00,18.57
35,07/16/2023 10:10:00,18.66
36,07/16/2023 10:15:00,18.74
37,07/16/2023 10:20:00,18.79
38,07/16/2023 10:25:00,18.74
39,07/16/2023 10:30:00,18.83
40,07/16/2023 10:35:00,18.79
41,07/16/2023 10:40:00,18.66
42,07/16/2023 10:45:00,18.66
43,07/16/2023 10:50:00,18.79
44,07/16/2023 10:55:00,18.83
45,07/16/2023 11:00:00,18.87
46,07/16/2023 11:05:00,18.79
47,07/16/2023 11:10:00,18.66
48,07/16/2023 11:15:00,18.70
49,07/16/2023 11:20:00,18.62
50,07/16/2023 11:25:00,18.66
51,07/16/2023 11:30:00,18.92
52,07/16/2023 11:35:00,19.05
53,07/16/2023 11:40:00,19.00
54,07/16/2023 11:45:00,18.92
55,07/16/2023 11:50:00,18.92
56,07/16/2023 11:55:00,19.00
57,07/16/2023 12:00:00,19.13
58,07/16/2023 12:05:00,19.13
59,07/16/2023 12:10:00,19.09
60,07/16/2023 12:15:00,19.13
61,07/16/2023 12:20:00,19.22
62,07/16/2023 12:25:00,19.17
63,07/16/2023 12:30:00,19.35
64,07/16/2023 12:35:00,19.35
65,07/16/2023 12:40:00,19.35
66,07/16/2023 12:45:00,19.43
67,07/16/2023 12:50:00,19.60
68,07/16/2023 12:55:00,19.60
69,07/16/2023 13:00:00,19.73
70,07/16/2023 13:05:00,19.90
71,07/16/2023 13:10:00,19.95
72,07/16/2023 13:15:00,19.95
73,07/16/2023 13:20:00,20.72
74,07/16/2023 13:25:00,20.29
75,07/16/2023 13:30:00,20.68
76,07/16/2023 13:35:00,21.53
77,07/16/2023 13:40:00,21.62
78,07/16/2023 13:45:00,21.10
79,07/16/2023 13:50:00,21.36
80,07/16/2023 13:55:00,21.36
81,07/16/2023 14:00:00,20.89
82,07/16/2023 14:05:00,21.28
83,07/16/2023 14:10:00,21.53
84,07/16/2023 14:15:00,21.53
85,07/16/2023 14:20:00,21.45
86,07/16/2023 14:25:00,22.35
87,07/16/2023 14:30:00,22.73
88,07/16/2023 14:35:00,22.61
89,07/16/2023 14:40:00,22.65
90,07/16/2023 14:45:00,22.48
91,07/16/2023 14:50:00,23.12
92,07/16/2023 14:55:00,22.65
93,07/16/2023 15:00:00,22.52
94,07/16/2023 15:05:00,22.22
95,07/16/2023 15:10:00,22.99
96,07/16/2023 15:15:00,22.48
97,07/16/2023 15:20:00,22.95
98,07/16/2023 15:25:00,22.56
99,07/16/2023 15:30:00,22.01
100,07/16/2023 15:35:00,21.88
101,07/16/2023 15:40:00,21.96
102,07/16/2023 15:45:00,21.75
103,07/16/2023 15:50:00,21.58
104,07/16/2023 15:55:00,21.23
105,07/16/2023 16:00:00,21.15
106,07/16/2023 16:05:00,21.19
107,07/16/2023 16:10:00,20.89
108,07/16/2023 16:15:00,21.02
109,07/16/2023 16:20:00,20.85
110,07/16/2023 16:25:00,20.55
111,07/16/2023 16:30:00,20.50
112,07/16/2023 16:35:00,20.33
113,07/16/2023 16:40:00,20.37
114,07/16/2023 16:45:00,20.20
115,07/16/2023 16:50:00,20.25
116,07/16/2023 16:55:00,20.29
117,07/16/2023 17:00:00,20.25
118,07/16/2023 17:05:00,20.20
119,07/16/2023 17:10:00,20.16
120,07/16/2023 17:15:00,20.16
121,07/16/2023 17:20:00,20.12
122,07/16/2023 17:25:00,20.07
123,07/16/2023 17:30:00,20.12
124,07/16/2023 17:35:00,20.12
125,07/16/2023 17:40:00,19.99
126,07/16/2023 17:45:00,19.95
127,07/16/2023 17:50:00,19.90
128,07/16/2023 17:55:00,19.99
129,07/16/2023 18:00:00,19.99
130,07/16/2023 18:05:00,19.99
131,07/16/2023 18:10:00,19.95
