#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,10/02/2023 18:00:00,19.56,3960.32,,,,
2,10/02/2023 18:05:00,17.72,4145.92,,,,
3,10/02/2023 18:10:00,17.07,3475.20,,,,
4,10/02/2023 18:15:00,16.73,2795.52,,,,
5,10/02/2023 18:20:00,16.51,2142.08,,,,
6,10/02/2023 18:25:00,16.34,1525.76,,,,
7,10/02/2023 18:30:00,16.17,991.68,,,,
8,10/02/2023 18:35:00,16.08,573.76,,,,
9,10/02/2023 18:40:00,16.00,302.16,,,,
10,10/02/2023 18:45:00,15.91,138.60,,,,
11,10/02/2023 18:50:00,15.87,49.78,,,,
12,10/02/2023 18:55:00,15.83,15.72,,,,
13,10/02/2023 19:00:00,15.83,4.51,,,,
14,10/02/2023 19:05:00,15.83,1.29,,,,
15,10/02/2023 19:10:00,15.83,0.21,,,,
16,10/02/2023 19:15:00,15.78,0.00,,,,
17,10/02/2023 19:20:00,15.78,0.00,,,,
18,10/02/2023 19:25:00,15.74,0.00,,,,
19,10/02/2023 19:30:00,15.70,0.00,,,,
20,10/02/2023 19:35:00,15.74,0.00,,,,
21,10/02/2023 19:40:00,15.78,0.00,,,,
22,10/02/2023 19:45:00,15.87,0.00,,,,
23,10/02/2023 19:50:00,15.87,0.00,,,,
24,10/02/2023 19:55:00,15.87,0.00,,,,
25,10/02/2023 20:00:00,15.87,0.00,,,,
26,10/02/2023 20:05:00,15.83,0.00,,,,
27,10/02/2023 20:10:00,15.83,0.00,,,,
28,10/02/2023 20:15:00,15.83,0.00,,,,
29,10/02/2023 20:20:00,15.48,0.00,,,,
30,10/02/2023 20:25:00,15.18,0.00,,,,
31,10/02/2023 20:30:00,15.78,0.00,,,,
32,10/02/2023 20:35:00,16.34,0.00,,,,
33,10/02/2023 20:40:00,17.03,0.00,,,,
34,10/02/2023 20:45:00,17.07,0.00,,,,
35,10/02/2023 20:50:00,17.16,0.00,,,,
36,10/02/2023 20:55:00,17.59,0.00,,,,
37,10/02/2023 21:00:00,17.63,0.00,,,,
38,10/02/2023 21:05:00,17.84,0.00,,,,
39,10/02/2023 21:10:00,17.89,0.00,,,,
40,10/02/2023 21:15:00,17.84,0.00,,,,
41,10/02/2023 21:20:00,17.89,0.00,,,,
42,10/02/2023 21:25:00,17.93,0.00,,,,
43,10/02/2023 21:30:00,17.89,0.00,,,,
44,10/02/2023 21:35:00,17.89,0.00,,,,
45,10/02/2023 21:40:00,17.89,0.00,,,,
46,10/02/2023 21:45:00,17.84,0.00,,,,
47,10/02/2023 21:50:00,17.89,0.00,,,,
48,10/02/2023 21:55:00,17.93,0.00,,,,
49,10/02/2023 22:00:00,17.93,0.00,,,,
50,10/02/2023 22:05:00,17.89,0.00,,,,
51,10/02/2023 22:10:00,17.93,0.00,,,,
52,10/02/2023 22:15:00,17.89,0.00,,,,
53,10/02/2023 22:20:00,17.93,0.00,,,,
54,10/02/2023 22:25:00,17.93,0.00,,,,
55,10/02/2023 22:30:00,17.97,0.00,,,,
56,10/02/2023 22:35:00,17.97,0.00,,,,
57,10/02/2023 22:40:00,17.93,0.00,,,,
58,10/02/2023 22:45:00,17.93,0.00,,,,
59,10/02/2023 22:50:00,17.89,0.00,,,,
60,10/02/2023 22:55:00,17.89,0.00,,,,
61,10/02/2023 23:00:00,17.89,0.00,,,,
62,10/02/2023 23:05:00,17.89,0.00,,,,
63,10/02/2023 23:10:00,17.89,0.00,,,,
64,10/02/2023 23:15:00,17.89,0.00,,,,
65,10/02/2023 23:20:00,17.84,0.00,,,,
66,10/02/2023 23:25:00,17.80,0.00,,,,
67,10/02/2023 23:30:00,17.80,0.00,,,,
68,10/02/2023 23:35:00,17.80,0.00,,,,
69,10/02/2023 23:40:00,17.80,0.00,,,,
70,10/02/2023 23:45:00,17.80,0.00,,,,
71,10/02/2023 23:50:00,17.80,0.00,,,,
